See https://www.sciencedirect.com/science/article/abs/pii/S0019103523004001
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
L7, M34, 880-nm
Generated: Wed Sep 20 10:01:49 2023
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1938
*************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma
0033ML0000080050100878D01_DXXX,  33.5036, 168.5, 0.716, 0.035
0033ML0000090050100883D01_DXXX,  33.6703, 168.6, 0.700, 0.017
0037ML0000990110100922L01_DXXX,  37.6346, 170.9, 0.742, 0.023
0037ML0000990110101305L01_DXXX,  37.6361, 170.9, 0.752, 0.023
0042ML0001810030101350K00_DXXX,  42.2605, 173.5, 0.702, 0.056
0042ML0001810030101400K00_DXXX,  42.2616, 173.5, 0.701, 0.052
0042ML0001810030101500K00_DXXX,  42.2639, 173.5, 0.694, 0.044
0042ML0001810030101589K00_DXXX,  42.2660, 173.5, 0.684, 0.038
0042ML0001830110101591K00_DXXX,  42.5287, 173.6, 0.704, 0.034
0042ML0001830110101825D01_DXXX,  42.5305, 173.6, 0.706, 0.034
0042ML0001830110101995D01_DXXX,  42.5318, 173.6, 0.704, 0.034
0042ML0001830110102054K00_DXXX,  42.5322, 173.6, 0.702, 0.034
0044ML0002030050102077D01_DXXX,  44.2771, 174.6, 0.718, 0.023
0048ML0002140050102099D01_DXXX,  48.5047, 177.0, 0.796, 0.035
0048ML0002180050102102D01_DXXX,  48.6711, 177.1, 0.827, 0.018
0056ML0002590050102285D01_DXXX,  56.5841, 181.7, 0.683, 0.032
0056ML0002600050102287D01_DXXX,  56.6588, 181.8, 0.676, 0.020
0066ML0002940050102440D01_DXXX,  66.4048, 187.5, 0.777, 0.029
0066ML0002950050102442D01_DXXX,  66.5051, 187.5, 0.692, 0.035
0066ML0002980050102525D01_DXXX,  66.6719, 187.6, 0.625, 0.018
0071ML0004960030102570D01_DXXX,  71.5550, 190.5, 0.699, 0.034
0076ML0005700030102704D01_DXXX,  76.5974, 193.6, 0.718, 0.030
0087ML0006110030102895D01_DXXX,  87.6786, 200.3, 0.617, 0.017
0097ML0004890030102943C00_DXXX,  97.5465, 206.4, 0.823, 0.034
0100ML0004900030102960C00_DXXX, 100.5237, 208.2, 1.195, 0.036
0101ML0006710030102998D01_DXXX, 101.5200, 208.8, 1.122, 0.036
0101ML0004910030103022C00_DXXX, 101.6843, 208.9, 1.174, 0.018
0111ML0006890030103664C00_DXXX, 111.5748, 215.2, 1.147, 0.033
0111ML0006900030103667C00_DXXX, 111.6374, 215.2, 1.157, 0.025
0119ML0007380030103762C00_DXXX, 119.4962, 220.2, 1.063, 0.035
0119ML0007390030103764C00_DXXX, 119.6497, 220.3, 1.045, 0.023
0122ML0007610030103881C00_DXXX, 122.4957, 222.1, 1.095, 0.035
0122ML0007630030103890C00_DXXX, 122.6820, 222.2, 1.058, 0.017
0129ML0007910030103951C00_DXXX, 129.5226, 226.6, 1.200, 0.035
0129ML0007920030103956C00_DXXX, 129.7140, 226.7, 1.204, 0.036
0134ML0008150030104001C00_DXXX, 134.4919, 229.8, 1.140, 0.034
0134ML0008160030104003C00_DXXX, 134.7067, 229.9, 1.128, 0.021
0147ML0008320030104410C00_DXXX, 147.4873, 238.2, 1.051, 0.034
0147ML0008330030104422C00_DXXX, 147.6565, 238.3, 1.032, 0.020
0153ML0008300030104454C00_DXXX, 153.5420, 242.1, 1.077, 0.033
0153ML0008310030104456C00_DXXX, 153.6409, 242.2, 1.082, 0.023
0157ML0008570030104527C00_DXXX, 157.5417, 244.7, 1.050, 0.033
0157ML0008580030104536C00_DXXX, 157.6777, 244.8, 1.040, 0.017
0162ML0003200030104588C00_DXXX, 162.6863, 248.1, 1.044, 0.016
0168ML0009040030104661C00_DXXX, 168.6433, 252.0, 1.132, 0.022
0169ML0009080030104676C00_DXXX, 169.6138, 252.6, 1.118, 0.026
0171ML0009130030104792C00_DXXX, 171.4912, 253.8, 1.100, 0.033
0172ML0009300030104991C00_DXXX, 172.7009, 254.6, 1.047, 0.017
0174ML0009390030105186C00_DXXX, 174.6967, 255.9, 1.010, 0.016
0183ML0009990030105281C00_DXXX, 183.4788, 261.6, 0.957, 0.033
0183ML0009980030105295C00_DXXX, 183.6869, 261.8, 0.946, 0.016
0188ML0010120030105621C00_DXXX, 188.4701, 264.9, 0.867, 0.032
0192ML0010200030105678C00_DXXX, 192.4755, 267.5, 0.888, 0.033
0192ML0010210030105850C00_DXXX, 192.6729, 267.6, 0.872, 0.017
0198ML0010440030106033C00_DXXX, 198.3618, 271.3, 0.970, 0.022
0226ML0010890030106050C00_DXXX, 226.4927, 289.2, 0.750, 0.033
0226ML0010930030106067C00_DXXX, 226.6154, 289.3, 0.722, 0.026
0233ML0011100030106103C00_DXXX, 233.5120, 293.6, 0.699, 0.033
0233ML0011090030106106C00_DXXX, 233.5904, 293.7, 0.717, 0.029
0267ML0011680030106109C00_DXXX, 267.5400, 314.3, 1.009, 0.033
0270ML0011840030106133C00_DXXX, 270.3203, 316.0, 1.412, 0.020
0270ML0011850030106136C00_DXXX, 270.4411, 316.0, 1.248, 0.032
0275ML0011970030106206C00_DXXX, 275.4979, 319.0, 1.119, 0.034
0280ML0011990030106219C00_DXXX, 280.4249, 321.9, 1.082, 0.031
0280ML0012000030106222C00_DXXX, 280.5744, 322.0, 1.068, 0.031
0284ML0012120030106280C00_DXXX, 284.5489, 324.3, 1.020, 0.034
0284ML0012130030106283C00_DXXX, 284.6744, 324.3, 0.988, 0.017
0290ML0012220030106369C00_DXXX, 290.5293, 327.7, 0.987, 0.034
0295ML0012360030106383C00_DXXX, 295.4477, 330.5, 0.996, 0.033
0295ML0012370030106386C00_DXXX, 295.5816, 330.5, 0.953, 0.031
0300ML0012490030106429C00_DXXX, 300.4679, 333.3, 0.904, 0.034
0307ML0012700030106598C00_DXXX, 307.4542, 337.2, 0.915, 0.034
0307ML0012710030106602C00_DXXX, 307.6255, 337.3, 0.885, 0.025
0312ML0012840030106783C00_DXXX, 312.7063, 340.1, 0.978, 0.016
0314ML0012890030107105C00_DXXX, 314.6130, 341.1, 0.924, 0.028
0320ML0013090030107745C00_DXXX, 320.5691, 344.3, 0.872, 0.032
0320ML0013100030107783C00_DXXX, 320.7122, 344.4, 0.873, 0.017
0326ML0013210030107874C00_DXXX, 326.6435, 347.6, 0.814, 0.023
0326ML0013220030107877C00_DXXX, 326.6713, 347.6, 0.817, 0.018
0330ML0013370030107944C00_DXXX, 330.4944, 349.7, 0.760, 0.035
0335ML0013540030108009C00_DXXX, 335.4613, 352.3, 0.743, 0.034
0335ML0013550030108012C00_DXXX, 335.6425, 352.4, 0.721, 0.022
0340ML0013780030108085C00_DXXX, 340.6180, 355.0, 0.743, 0.026
0340ML0013790030108088C00_DXXX, 340.6880, 355.0, 0.715, 0.015
0345ML0013980030108237C00_DXXX, 345.3463, 357.4, 0.838, 0.020
0345ML0013990030108240C00_DXXX, 345.4170, 357.5, 0.823, 0.030
0348ML0014120030108301C00_DXXX, 348.4199, 359.0, 0.821, 0.031
0348ML0014130030108304C00_DXXX, 348.6979, 359.2, 0.749, 0.014
0352ML0014410030108369C00_DXXX, 352.4911,   1.1, 0.822, 0.035
0352ML0014430030108478C00_DXXX, 352.6719,   1.2, 0.814, 0.017
0356ML0014540030108507C00_DXXX, 356.6618,   3.2, 0.777, 0.019
0360ML0014700030108541C00_DXXX, 360.4821,   5.2, 0.818, 0.035
0365ML0014870030108662C00_DXXX, 365.5394,   7.7, 0.799, 0.034
0369ML0015070030108695C00_DXXX, 369.6526,   9.8, 0.803, 0.020
0369ML0015080030108698C00_DXXX, 369.6837,   9.8, 0.802, 0.015
0374ML0015420030200001C00_DXXX, 374.4434,  12.1, 0.748, 0.032
0406ML0016820020200867D01_DXXX, 406.5908,  27.7, 0.671, 0.028
0406ML0016820030200868D01_DXXX, 406.5909,  27.7, 0.676, 0.028
0410ML0016950020201009D01_DXXX, 410.6404,  29.6, 0.652, 0.021
0410ML0016950030201010D01_DXXX, 410.6405,  29.6, 0.660, 0.021
0425ML0017370020201233D01_DXXX, 425.4911,  36.5, 0.691, 0.034
0425ML0017370030201234D01_DXXX, 425.4911,  36.5, 0.677, 0.034
0425ML0017380020201339D01_DXXX, 425.6756,  36.6, 0.670, 0.016
0425ML0017380030201340D01_DXXX, 425.6757,  36.6, 0.674, 0.015
0438ML0017820020201628D01_DXXX, 438.6013,  42.6, 0.670, 0.026
0438ML0017820030201629D01_DXXX, 438.6014,  42.6, 0.675, 0.026
0453ML0018290020201909D01_DXXX, 453.6195,  49.5, 0.572, 0.023
0453ML0018290030201910D01_DXXX, 453.6197,  49.5, 0.578, 0.023
0467ML0018620020201985D01_DXXX, 467.6527,  55.8, 0.460, 0.018
0467ML0018620030201986D01_DXXX, 467.6528,  55.8, 0.464, 0.018
0473ML0018780020202160D01_DXXX, 473.5293,  58.5, 0.503, 0.050
0473ML0018780030202161D01_DXXX, 473.5294,  58.5, 0.499, 0.053
0486ML0019170020202259D01_DXXX, 486.6182,  64.4, 0.476, 0.023
0486ML0019170030202260D01_DXXX, 486.6183,  64.4, 0.483, 0.023
0487ML0019320030202309C00_DXXX, 487.6790,  64.8, 0.443, 0.014
0489ML0019460030202382D01_DXXX, 489.6526,  65.7, 0.468, 0.018
0492ML0019520030202485D01_DXXX, 492.5465,  67.0, 0.490, 0.046
0493ML0019570030202492D01_DXXX, 493.3135,  67.4, 0.464, 0.014
0502ML0019680030202660D01_DXXX, 502.4928,  71.5, 0.502, 0.050
0502ML0019770030202688D01_DXXX, 502.6740,  71.6, 0.473, 0.015
0509ML0020030030202803D01_DXXX, 509.5818,  74.7, 0.466, 0.027
0516ML0020330030202987D01_DXXX, 516.5322,  77.8, 0.433, 0.030
0525ML0020700030203139D01_DXXX, 525.6183,  81.9, 0.440, 0.023
0530ML0020990030203298D01_DXXX, 530.4763,  84.0, 0.448, 0.030
0530ML0021040030203316D01_DXXX, 530.6117,  84.1, 0.436, 0.023
0539ML0021280030203555D01_DXXX, 539.5573,  88.1, 0.459, 0.029
0543ML0021480030203968D01_DXXX, 543.3101,  89.9, 0.473, 0.014
0543ML0021490030203971D01_DXXX, 543.4652,  89.9, 0.457, 0.030
0551ML0022280030204309D01_DXXX, 551.4937,  93.6, 0.434, 0.030
0558ML0022560030204579D01_DXXX, 558.5410,  96.8, 0.481, 0.030
0564ML0022860030204679D01_DXXX, 564.6659,  99.6, 0.445, 0.016
0573ML0023200030205003D01_DXXX, 573.5202, 103.7, 0.435, 0.030
0581ML0024320030300296D01_DXXX, 581.6545, 107.5, 0.448, 0.017
0582ML0024360030300333D01_DXXX, 582.7026, 108.0, 0.490, 0.015
0583ML0024380030300380D01_DXXX, 583.6577, 108.4, 0.480, 0.017
0589ML0024720030300588D01_DXXX, 589.4675, 111.1, 0.459, 0.030
0589ML0024750030300596D01_DXXX, 589.6309, 111.2, 0.445, 0.021
0590ML0024800030300626D01_DXXX, 590.5707, 111.6, 0.413, 0.028
0597ML0025150030301171D01_DXXX, 597.4733, 114.9, 0.408, 0.031
0604ML0025490030301399D01_DXXX, 604.4703, 118.2, 0.436, 0.031
0607ML0025620030301512D01_DXXX, 607.5360, 119.7, 0.379, 0.031
0611ML0025700030301715D01_DXXX, 611.4731, 121.6, 0.399, 0.031
0617ML0026420030302028D01_DXXX, 617.6843, 124.6, 0.335, 0.014
0626ML0026750030302382D01_DXXX, 626.5004, 128.9, 0.387, 0.032
0627ML0026800030302399D01_DXXX, 627.6872, 129.5, 0.367, 0.014
0628ML0022550030302403D01_DXXX, 628.6115, 130.0, 0.345, 0.025
0628ML0022550050302404D01_DXXX, 628.6118, 130.0, 0.360, 0.024
0628ML0022820030302405D01_DXXX, 628.6259, 130.0, 0.345, 0.023
0628ML0022820050302406D01_DXXX, 628.6261, 130.0, 0.357, 0.023
0631ML0026120030302554D01_DXXX, 631.6326, 131.5, 0.355, 0.022
0633ML0026180030302609D01_DXXX, 633.6802, 132.5, 0.421, 0.014
0639ML0027150030302734D01_DXXX, 639.4712, 135.4, 0.367, 0.032
0645ML0027450030302858D01_DXXX, 645.4765, 138.4, 0.379, 0.032
0647ML0022830030302901I01_DXXX, 647.5422, 139.5, 0.415, 0.034
0647ML0022830050302902D01_DXXX, 647.5425, 139.5, 0.410, 0.032
0647ML0023300030302903I01_DXXX, 647.5566, 139.5, 0.399, 0.033
0647ML0023300050302904D01_DXXX, 647.5568, 139.5, 0.405, 0.031
0647ML0023310030302905I01_DXXX, 647.5858, 139.5, 0.387, 0.030
0647ML0023310050302906D01_DXXX, 647.5860, 139.5, 0.402, 0.028
0650ML0027580030303064D01_DXXX, 650.6392, 141.0, 0.481, 0.022
0652ML0027640030303100D01_DXXX, 652.5378, 142.0, 0.454, 0.032
0657ML0027850030303154D01_DXXX, 657.6967, 144.7, 0.509, 0.014
0659ML0027960030303168D01_DXXX, 659.6379, 145.7, 0.622, 0.022
0661ML0028080030303344D01_DXXX, 661.6194, 146.7, 0.728, 0.025
0665ML0028290030303548D01_DXXX, 665.4942, 148.7, 0.852, 0.034
0665ML0028350030303572D01_DXXX, 665.6904, 148.8, 0.843, 0.014
0668ML0028450030303635D01_DXXX, 668.6696, 150.4, 0.713, 0.017
0672ML0028630030303680D01_DXXX, 672.6705, 152.5, 0.672, 0.017
0685ML0028940030304008D01_DXXX, 685.4900, 159.4, 0.739, 0.034
0696ML0029470030304182D01_DXXX, 696.6353, 165.5, 0.812, 0.024
0701ML0029600030304322D01_DXXX, 701.5411, 168.2, 0.800, 0.034
0707ML0030000030304609D01_DXXX, 707.5386, 171.6, 0.846, 0.035
0713ML0030210010304741D01_DXXX, 713.2997, 174.8, 0.858, 0.014
0718ML0030480030304870D01_DXXX, 718.4740, 177.8, 0.775, 0.034
0718ML0030490030304874D01_DXXX, 718.6757, 177.9, 0.684, 0.017
0725ML0030930030305022D01_DXXX, 725.5442, 181.9, 0.755, 0.035
0730ML0031280030305138D01_DXXX, 730.5347, 184.8, 0.716, 0.035
0732ML0031400030205196D01_DXXX, 732.6652, 186.1, 0.733, 0.020
0732ML0031420030205217D01_DXXX, 732.7363, 186.1, 0.706, 0.041
0734ML0031490030205238D01_DXXX, 734.5300, 187.2, 0.719, 0.035
0741ML0031760030205523D01_DXXX, 741.4744, 191.3, 0.780, 0.035
0745ML0032020030205756D01_DXXX, 745.4742, 193.7, 0.775, 0.035
0752ML0032330030206244D01_DXXX, 752.6221, 198.0, 0.786, 0.028
0754ML0032380030400032D01_DXXX, 754.4738, 199.2, 0.760, 0.035
0758ML0032670030400083D01_DXXX, 758.6628, 201.7, 0.733, 0.020
0766ML0032940030400112D01_DXXX, 766.5379, 206.6, 0.901, 0.035
0776ML0033550030400181D01_DXXX, 776.4712, 212.8, 0.930, 0.034
0779ML0033870030400255D01_DXXX, 779.4711, 214.7, 0.915, 0.034
0781ML0034070030400326D01_DXXX, 781.4707, 216.0, 1.066, 0.034
0786ML0034240030400446D01_DXXX, 786.3155, 219.0, 1.445, 0.019
0786ML0034260030400450D01_DXXX, 786.5850, 219.2, 1.225, 0.031
0788ML0034360030400504D01_DXXX, 788.7109, 220.5, 1.409, 0.058
0793ML0034610030400630D01_DXXX, 793.3025, 223.5, 1.406, 0.014
0793ML0034620030400633D01_DXXX, 793.4886, 223.6, 1.387, 0.035
0796ML0034750030400702D01_DXXX, 796.5568, 225.6, 1.471, 0.034
0799ML0034940030400798D01_DXXX, 799.5067, 227.5, 1.517, 0.035
0801ML0035020030400826D01_DXXX, 801.5786, 228.8, 1.478, 0.032
0803ML0035160030400889D01_DXXX, 803.6974, 230.2, 1.442, 0.014
0804ML0035190030400928D01_DXXX, 804.5008, 230.7, 1.468, 0.034
0806ML0035280030400931D01_DXXX, 806.4721, 232.0, 1.423, 0.033
0806ML0035360030400934D01_DXXX, 806.6807, 232.1, 1.374, 0.016
0808ML0035430030400971D01_DXXX, 808.4628, 233.2, 1.512, 0.033
0810ML0035620030400974D01_DXXX, 810.6548, 234.7, 1.394, 0.031
0814ML0035850030401025D01_DXXX, 814.6348, 237.2, 1.273, 0.035
0817ML0035980030401065D01_DXXX, 817.4767, 239.1, 1.237, 0.033
0820ML0036140030401102D01_DXXX, 820.4721, 241.0, 1.338, 0.033
0827ML0036340030401171D01_DXXX, 827.4882, 245.6, 1.297, 0.033
0834ML0036700030401290D01_DXXX, 834.6443, 250.3, 1.016, 0.022
0838ML0036840030401371D01_DXXX, 838.5498, 252.8, 1.129, 0.032
0839ML0036850030401374D01_DXXX, 839.6199, 253.5, 1.117, 0.026
0843ML0037490030401461D01_DXXX, 843.6770, 256.2, 1.087, 0.017
0854ML0037750030401601D01_DXXX, 854.4679, 263.2, 1.436, 0.033
0863ML0037970030401663D01_DXXX, 863.4746, 269.0, 0.973, 0.033
0866ML0038050030401686D01_DXXX, 866.4404, 271.0, 0.914, 0.031
0872ML0038190030401727D01_DXXX, 872.4573, 274.8, 0.970, 0.032
0886ML0038590030401821D01_DXXX, 886.4344, 283.8, 0.930, 0.031
0890ML0038800030401887D01_DXXX, 890.4258, 286.3, 0.828, 0.030
0892ML0038870030401911D01_DXXX, 892.2987, 287.5, 1.012, 0.014
0897ML0039390030401970D01_DXXX, 897.4265, 290.7, 0.838, 0.030
0904ML0039550030402303D01_DXXX, 904.6547, 295.2, 0.755, 0.020
0907ML0039710030402334D01_DXXX, 907.4344, 297.0, 0.798, 0.031
0914ML0039980030402368D01_DXXX, 914.5210, 301.3, 0.818, 0.034
0916ML0040240030402458D01_DXXX, 916.6561, 302.6, 0.730, 0.020
0917ML0040310030402545D01_DXXX, 917.3383, 303.0, 0.965, 0.019
0918ML0040320030402603D01_DXXX, 918.5178, 303.8, 0.808, 0.034
0919ML0040360030402626D01_DXXX, 919.4227, 304.3, 0.809, 0.030
0924ML0040550030402723D01_DXXX, 924.3239, 307.3, 0.941, 0.016
0924ML0040600030402734D01_DXXX, 924.4656, 307.4, 0.792, 0.033
0924ML0040640030402741D01_DXXX, 924.6763, 307.5, 0.750, 0.017
0925ML0040650030402744D01_DXXX, 925.3235, 307.9, 0.904, 0.016
0925ML0040660030402747D01_DXXX, 925.4720, 308.0, 0.811, 0.034
0925ML0040690030402772D01_DXXX, 925.6982, 308.1, 0.765, 0.014
0926ML0040710030402775D01_DXXX, 926.3370, 308.5, 0.843, 0.019
0927ML0040760030402799D01_DXXX, 927.3511, 309.1, 0.861, 0.021
0927ML0040770030402802D01_DXXX, 927.6589, 309.3, 0.693, 0.020
0929ML0040830030402812D01_DXXX, 929.5090, 310.4, 0.714, 0.034
0929ML0040880030402863D01_DXXX, 929.6684, 310.5, 0.712, 0.018
0931ML0040910030402867D01_DXXX, 931.3225, 311.5, 0.895, 0.016
0931ML0040950030402910D01_DXXX, 931.4854, 311.6, 0.769, 0.034
0935ML0041050030402930D01_DXXX, 935.4837, 314.0, 0.830, 0.034
0935ML0041060030402933D01_DXXX, 935.6215, 314.0, 0.714, 0.026
0937ML0041150030402936D01_DXXX, 937.3076, 315.0, 0.965, 0.014
0941ML0041380030403086D01_DXXX, 941.5221, 317.5, 0.936, 0.034
0945ML0041520030403181D01_DXXX, 945.4660, 319.8, 1.023, 0.034
0945ML0041550030403193D01_DXXX, 945.6172, 319.9, 1.005, 0.027
0947ML0041620030403241D01_DXXX, 947.2878, 320.9, 0.942, 0.014
0947ML0041630030403244D01_DXXX, 947.3223, 320.9, 0.959, 0.016
0947ML0041640030403247D01_DXXX, 947.4633, 321.0, 0.960, 0.034
0950ML0041780030403338D01_DXXX, 950.4310, 322.7, 0.959, 0.032
0950ML0041800030403346D01_DXXX, 950.6985, 322.9, 0.854, 0.014
